country,populationDensity
Afghanistan,16.48647103
Albania,80.86583414
Algeria,5.792365753
American Samoa,136.0552764
Andorra,42.43589744
Angola,4.836528435
Anguilla,69.04395604
Antigua and Barbuda,145.9638009
Argentina,8.575313984
Armenia,85.20919208
Aruba,328.3666667
Australia,1.637414808
Austria,89.00932384
Azerbaijan,62.64800231
Bahamas,12.84723517
Bahrain,290.9215686
Bangladesh,457.6937047
Barbados,561.3883721
Belarus,44.17526975
Belgium,315.427673
Belize,5.264521467
Benin,26.84593596
Bermuda,963.3148148
Bhutan,7.78491431
Bolivia,4.174196532
Bosnia and Herzegovina,74.50957839
Botswana,1.017601375
Brazil,11.31664065
British Virgin Islands,63.45033113
Brunei,23.12974848
Bulgaria,77.40825585
Burkina Faso,20.55803815
Burundi,125.6676726
Cambodia,37.05650841
Cameroon,13.57218546
Canada,2.146748666
Cape Verde,71.22787007
Cayman Islands,39.89772727
Central African Republic,3.318473669
Chad,2.856225857
Chile,12.98830184
China,84.73655658
Colombia,18.30986698
Comoros,130.1562836
Cook Islands,86.73728814
Costa Rica,36.31500978
Croatia,79.38364491
Cuba,80.71817553
Curacao,338.704955
Cyprus,69.26861961
Czech Republic,124.2090154
Denmark,114.2377825
Djibouti,6.223232759
Dominica,91.73768309
Dominican Republic,91.96176368
DR Congo,8.594009957
Ecuador,22.29516221
Egypt,34.6969784
El Salvador,172.001806
Equatorial Guinea,11.29924067
Eritrea,10.82268707
Estonia,30.11473235
Eswatini,25.50478
Ethiopia,25.63456126
Falkland Islands,0.186806868
Faroe Islands,27.57788945
Fiji,28.87664186
Finland,13.61198083
France,91.57883613
French Guiana,0.556468025
French Polynesia,28.29157667
Gabon,2.231092249
Gambia,49.46496398
Georgia,68.87268293
Germany,219.2425472
Ghana,37.15165197
Gibraltar,4447.5
Greece,64.73879082
Greenland,0.02097516
Grenada,287.1918605
Guadeloupe,195.522113
Guam,160.8378871
Guatemala,50.08043053
Guernsey,675.0769231
Guinea,17.17410527
Guinea-Bissau,16.37821453
Guyana,3.28075676
Haiti,168.6779099
Honduras,24.73734132
Hong Kong,3582.492754
Hungary,110.8845294
Iceland,1.985126214
India,169.5775024
Indonesia,60.50103409
Iran,17.26112808
Iraq,22.38413523
Ireland,41.80321034
Isle of Man,96.67482517
Israel,139.9762638
Italy,176.9587305
Ivory Coast,16.98516109
Jamaica,169.1466655
Japan,278.9321806
Jersey,589.1982759
Jordan,17.43159992
Kazakhstan,4.501194539
Kenya,19.76867568
Kiribati,70.82244143
Kuwait,45.05477607
Kyrgyzstan,15.08561598
Laos,11.2976478
Latvia,37.13524063
Lebanon,227.8789705
Lesotho,33.71704826
Liberia,13.14156543
Libya,1.08504325
Liechtenstein,131.80625
Lithuania,49.15998469
Luxembourg,131.2227378
Macau,8242.8
Madagascar,11.31054049
Malawi,39.03599642
Malaysia,31.15602942
Maldives,410.81
Mali,4.961801882
Malta,998.1455696
Marshall Islands,132.4254144
Martinique,289.3865248
Mauritania,1.088772679
Mauritius,406.9191176
Mayotte,94.60695187
Mexico,25.60066484
Micronesia,84.02991453
Moldova,109.6478166
Monaco,12135
Mongolia,0.827230821
Montenegro,38.39183319
Montserrat,111.7843137
Morocco,34.20524241
Mozambique,10.49373869
Myanmar,40.32663196
Namibia,0.91382424
Nauru,317.2857143
Nepal,84.93817137
Netherlands,311.5337157
New Caledonia,5.974804845
New Zealand,10.44142539
Nicaragua,18.75209591
Niger,3.685641673
Nigeria,60.15499996
Niue,19.94230769
North Korea,124.4161924
North Macedonia,64.43367168
Northern Mariana Islands,21.85991379
Norway,11.96887604
Oman,2.167021002
Pakistan,67.22991863
Palau,24.76252723
Palestine,179.7815113
Panama,20.10406142
Papua New Guinea,5.377795783
Paraguay,5.922004071
Peru,10.5526005
Philippines,109.3479128
Poland,103.8859117
Portugal,94.29504832
Puerto Rico,308.6379932
Qatar,10.18530986
Republic of the Congo,4.084763158
Reunion,188.739546
Romania,83.57118348
Russia,7.608560576
Rwanda,147.9370871
Saint Barthelemy,115.0952381
Saint Kitts and Nevis,172.2911877
Saint Lucia,167.3538961
Saint Martin,109.4716981
Saint Pierre and Miquelon,22.88016529
Saint Vincent and the Grenadines,253.1079692
Samoa,50.23610134
San Marino,297.852459
Sao Tome and Principe,80.48029046
Saudi Arabia,2.840498397
Senegal,22.20262096
Serbia,81.41072419
Seychelles,120.3075221
Sierra Leone,38.73093114
Singapore,2903.987324
Sint Maarten,184.1176471
Slovakia,92.23376226
Slovenia,85.89187589
Solomon Islands,5.981208472
Somalia,5.835389559
South Africa,18.31910581
South Korea,325.3282407
South Sudan,5.393202043
Spain,66.78488395
Sri Lanka,188.8244018
Sudan,5.99406066
Suriname,2.319118545
Sweden,17.82765076
Switzerland,149.724518
Syria,34.12463009
Taiwan,413.2807449
Tajikistan,20.91557652
Tanzania,14.4094586
Thailand,69.75313377
Timor-Leste,37.24761328
Togo,38.69653958
Tokelau,142.8333333
Tonga,115.7751004
Trinidad and Tobago,192.7660819
Tunisia,30.85021698
Turkey,45.35823585
Turkmenistan,4.510206925
Turks and Caicos Islands,5.975738397
Tuvalu,223.6153846
Uganda,42.71253157
Ukraine,78.34148467
United Arab Emirates,3.565598086
United Kingdom,229.1073117
United States,21.37380516
United States Virgin Islands,182.8414986
Uruguay,15.41293348
Uzbekistan,26.8470295
Vanuatu,7.139141849
Vatican City,752
Venezuela,12.39078723
Vietnam,126.5921796
Wallis and Futuna,66.03521127
Western Sahara,0.287109023
Yemen,12.96216248
Zambia,5.689081492
Zimbabwe,13.31497069